N°;NOMBRE;DIRECCIÓN;TELÉFONO;FAX;RFC;CORREO;WEB;CONTACTO;PUESTO CONTACTO;TÉLEFONO CONTACTO;MOVIL CONTACTO;CORREO CONTACTO;TELÉFONO ALTERNO 1;TELÉFONO ALTERNO 2;CANTIDADES COMPRADAS; CANTIDADES EN $  
102;JEVI MUEBLES Y ARTE EN MADERA Y DECORACIONES, S.A. DE C.V.;CALLE MIGUEL HIDALGO MZ. 65 LT. 746, COL. SANTA MARIA AZTAHUACAN, DELEG. IZTAPALAPA , MEXICO D.F. C.P. 09570;56936208;26088884;JMA870902NBA;JEVIARTE@PRODIGY.NET.MX;WWW.JEVIMUEBLESYARTE.COM;;;;;;;;64;275.667,00
103;PRODUCTOS PARA CONSUMO EMPRESARIAL S.A. DE C.V.;PRESIDENTES No. 19 COL. PORTALES C.P. 03570, DELEG. BENITO JUAREZ, MEXICO, D.F.;5672-2209;5672-2209;PCE941219PI1;;;;;;;;;;65;162.605,00
104;OFFICEMEX, S.A. DE C.V.;AVE. DE LA REFORMA NO. 229 PRADOS DEL CENTENARIO, HERMOSILLO, SONORA;662-2172884;662-2172894;OME0010235YA;;;HECTOR;REPRESENTANTE LEGAL;;;;;;66;72.051,50
105;OFFICE DEPOT DE MEXICO, S.A. DE C.V.;AV. JARDIN No. 245, COL. TLATILCO C.P. 02860, MEXICO D.F.;;;ODM950324V2A;;www.officedepot.com.mx;;;;;;;;67;89.948,60
106;CLISA FERNANDO ERNESTO HERNANDEZ SANCHEZ;NORTE NUM. 80 COL. MALINCHE DEL. GUSTAVO A. MADERO;10557727;;HESF5306272N3;ernesto.hernandez@menegrad.com;;FERNANDO ERNESTO HERNANDEZ SANCHEZ;;;;;;;70;242.576,00
107;GMAI ENTERPRISE TECHNOLOGY SOLUTIONS, S.A. DE C.V.;AVENIDA COYOACAN NO. 521 CIUDAD DEL SOL, ZAPOPAN JALISCO;33-31225443;33-31225439;GET031013P52;;;FRANCISCO GONZALEZ;REPRESENTANTE LEGAL;;;;;;71;435.318,00
108;TELEMATICA LEFIC, S.A. DE C.V.;MARINA NACIONAL NUM. 121 1ER. PISO COL. ANAHUAC, DELEGACION. M. HIDALGO C.P. 11320, MEXICO D.F.;53994848;;TLE931001GT5;;WWW.GRUPOLEFIC.COM.MX;;;;;;;;72;216.377,00
109;AMERIMEX TECNOLOGIA, S.A. DE C.V.;BACHOCO NO. 14, FRACCIONAMIENTO BACHOCO, HERMOSILLO, SONORA;662-2113678;662-2110797;ATE030624UK8;amerimex@hmo.megared.net.mx;;ROBERTO AGUAYO;DIRECTOR;;;;;;73;218.379,00
110;EQUIPOS INDUSTRIALES DEL SURESTE, S.A. DE C.V.;CALLE 54 NUMERO 375 POR 35 Y 37, COL. CENTRO, MERIDA YUCATAN.;19999276332;19999268911;EIS8406089X4;;;CARLOS BEITIA;VENTAS;;;;;;83;353.502,00
111;PROVEEDOR Y DISTRIBUIDOR DE SUMINISTROS, S.A DE C.V.;MORELIA NO. 38, 102. COL. ROMA C.P. 06700, MEX. D.F.;5525-7208;;PDS030314KK8;;;;;;;;;;86;289.316,00
112;MANUFACTURAS Y DISTRIBUCIONES RB, S.A. DE C.V.;12 DE OCTUBRE NO. 146 ENTRE CAMPECHE Y TABASCO, HERMOSILLO SONORA;662-2157400;662-2153336;MDR0207081W4;rbventas@hmo.megared.net.mx;;LUIS CARLOS ROSAS;REPRESENTANTE LEGAL;;;;;;96;2.182.210,00
113;GRUPO KADOSH, LUCIA LETICIA CRUZ GONZALEZ;LINDERO No. 3-A COL. RESIDENCIAL COAPA DELEG. TLALPAN C.P. 14390 MEXICO D.F.;;;CUGL6312131G4;;;;;;;;;;137;138.159,00
114;SELECTRO, S.A. DE C.V.;ENRIQUE GARCIA SANCHEZ Y SAN LUIS POTOSI S/N, HERMOSILLO SONORA;662-2100518;662-2151989;SEL910502V89;;;GUSTAVO VALDEZ;REPRESENTANATE LEGAL;;;;;;138;1.236.040,00
115;RAMPA PRODUCCIONES, S.A. DE C.V.;LATERAL VIADUCTO TALAPAN No. 4786, BARRIO DEL NIÑO JESUS, TLALPAN MEXICO D.F. C.P. 14080;5655-0111;5655-0111;RPC930426RM4;;;;;;;;;;142;490.278,00
116;IVÁN DMMTRI BECERRIL MONDRAGÓN;JAZMIN MZ. 11, LT 13, SM 524 RESIDENCIAL SANTA FE, BENITO JUÁREZ, Q. ROO. C.P. 77500;(01 998) 865 4848;;BEMI741021PE2;;;IVÁN DMMTRI BECERRIL MONDRAGÓN;;;;;;;188;1.154.380,00
117;GRUPO TUNGSTEN, S.A. DE C.V.;AV. PATRIOTISMO No. 516 COL. SAN PEDRO DE LOS PINOS, DELEG. BENITO JUAREZ C.P. 03800 MEXICO D.F.;5563-5427;5563-5427;GTU040211J23;;;;;;;;5615-9283;5615-7354;237;294.335,00
118;TECHNOLOGY SYSTEM, VALLE PRECIADO GUILLERMO;1ERA. DE DOMINGO RIOS 1 COL. VICENTE GUERRERO C.P. 09200, DELEG. IZTAPALAPA, MEXICO D.F.;5613-0668;5613-0668;VAPG690317465;;;;;;;;;;359;336.844,00
119;COMUNICACIÓN CENTRAL, S.A. DE C.V.;CALLE JUAREZ No. 81, COL. SAN LUCAS TEPETLACALCO C.P. 54055, TLALNEPANTLA, EDO. DE MEX.;5363-0143;5363-1308;CCE940324THA;;;;;;;;;;364;5.978.980,00
120;GAMA TOTAL S.A. DE C.V.;5-A, NO. 337, DEPTO. 2 X 40 Y 42 (1-A) COL. FOVISSTE, MÉRIDA, YUCATÁN C.P.;(01 999) 987 4106;;GTO010302M43;;;CARLOS LAVALLE TORRES;GERENTE GRAL;;;;;;368;2.131.900,00
121;DONACION;SIN ESPECIFICAR QUIEN DONO EL EQUIPO;1111111;;DONACION;;;;;;;;;;447;1.841.840,00
122;LD I ASSOCIATS, S.A. DE C.V.;AV. CLAVERIA 123, COL. CLAVERIA, C.P. 02080, MEXICO D.F.;8595-2000;;LIA9708133A3;ldiassociats@ldi.com.mx;www.ldi.com.mx;;;;;;8595-2100;;457;1.392.600,00
123;PRODUCTOS METALICOS STEELE, S.A. DE C.V.;LAGO ALBERTO No. 282, COL. ANAHUAC C.P. 11320, MEXICO D.F.;5203-6400;5545-0390;PMS811203QE6;;;;;;;;;;585;714.524,00
124;FOCUS ON SERVICES, S.A. DE C.V.;LAGOS DE MORENO No. 724, SAN FELIPE DE JESUS, MEXICO, D.F. C.P. 07510;5234-4227;5234-4228;FOS000306HXA;;;;;;;;5236-3494;5236-3491;687;8.352.220,00
125;TORRES POLO JOSÉ ALBERTO;PALENQUE No.16-3 COL. NARVARTE DELEG. BENITO JUÁREZ MÉXICO, D.F. C.P.03020;55-30-94-56;;TOPA-640407-7N6;sellostorres@cablevision.net.mx;;TORRES PLO JOSÉ ALBERTO;REPRESENTANTE LEGAL;044-55-18-26-26-93;;sellostorres@cablevision.net.mx;;;;
126;TÉCNICA COMERCIAL VILSA ,S.A. DE C.V.;MONTECITO No.38 PISO 23 OFICINA 35 COL. NÁPOLES DELEG. BENITO JUÁREZ C.P.03810 MÉXICO, D.F.;55-88-29-53;54-88-29-01;TCV-821011-Q66;;;TELÉ MARKETING;DEPARTAMENTO DE VENTAS;54-88-29-53;;;5488-29-54;;;
127;VIC ELECTRONICA, S.A. DE C.V.;BUEN TONO No.159 COL. INDUSTRIAL MÉXICO, D.F. C.P. 07800;55-37-36-91;55-10-26-42;VEL-880927-3C6;;;TELÉ MARKETING;DEPARTAMENTO DE VENTAS;55-37-36-91;;;55-18-72-98;;;
128;TALLERES GRAFICOS DE MÉXICO;AV. CANAL DEL NORTE No.80 COL. FELIPE PESCADOR DELEG. CUAUHTEMOC, C.P. 06280;57-89-90-11;;TGM-990109-718;tgdemex@tgm.com.mx;;MARICARMEN MERA RENTERÍA;DEPARTAMENTO DE VENTAS;57-89-90-11;;maricarmen.mera@tgm.com.mx;57-04-74-00;;;
129;MENDOZA AVILES VICTOR;FELIX GUZMAN No.22 COL. EL PARQUE NAUCALPAN DE JUÁREZ EDO. DE MÉXICO  C.P.53398;53-95-19-12;;MEAV-770904-PM4;;;MENDEZ AVILES VICTOR;REPRESENTANTE LEGAL;53-95-19-12;;;;;;
130;PRODUCCIONES BILBATUA,S.A. DE C.V.;HERIBERTO FRIAS No.1145 2o.PISO COL. DEL VALLE MÉXICO, D.F. C.P.03100;55-59-44-48;55-59-58-66;PBI-010323-6F9;;;DEMETRIO BILBATUA RODRIGUEZ;REPRESENTANTE LEGAL;55-59-44-48;;;55-59-5412;;;
131;ASPEL DESARROLLOS,S.A. DE C.V.;CARRETERA PICACHO AJUSCO No.130 DESP. 204 COL. JARDINES EN LA MONTAÑA DELEG. TLALPAN MÉXICO, D.F. C.P.14210;56-31-45-80;56-31-45-80;ADE-990526-HDA;;;FERNANDO MORALES PAREDES;DIRECTOR;56-31-45-80;;;56-31-45-80;;;
132;EDITORIAL DEL DEPORTE MÉXIANO,S.A. DE C.V.;VAN DYCK No.105 COL. SANTA MARIA NONOALCO, MIXCOAC DELEG. ALVARO OBREGÓN MÉXICO, D.F. C.P.01420;56-11-59-66;55-63-79-80;EDM-970220-RG0;frobles@edm.com.mx;;FERNANDO ROBLES;DIRECTOR GENERAL;56-11-59-66;;robleshs@gmail.com;55-63-79-80;;;
133;FRIDMAY,S.A. DE C.V.;UNIVERSIDAD No.461 COL. NARVARTE MÉXICO, D.F. C.P.03020;52-19-17-77;;FRI-000628-2Q0;;;TELÉ MARKETING;DEPARTAMENTO DE VENTAS;52-19-17-77;;;;;;
134;NOVELTECH SISTEMAS INTEGRALES,S.A. DE C.V.;CALLE BOKODA No.483-A COL. PEDREGAL DE SAN NICOLAS MÉXICO, D.F. C.P.14100;50-33-83-75;50-33-83-76;NSI-030828-CL4;viviana_mendoza@noveltech.com.mx;;VIVIANA MENDOZA ABURTO;EJECUTIVA DE VENTAS;50-33-83-75;044-55-28-47-23-66;viviana_mendoza@noveltech.com.mx;;;;
135;ESTAFETA MEXICANA,S.A. DE C.V.;HAMBURGO 213 PISO 14 COL. JUÁREZ MÉXICO, D.F. C.P.06600;01-800-90-33-500;52-70-83-00;EME-880309-SK5;;;TELÉ MARKETING;DEPARTAMENTO DE VENTAS;;;;;;;
136;BOWMAN TECNOLOGIES ,S.A. DE C.V.;FLORENCIA No.57 PISO 5 COL. JUÁREZ DELEG. CUAUHTEMOC, MÉXICO, D.F. C.P.06600;52-42-58-21;55-25-77-98;SCS-020320-M38;jcarrillo@bowmantec.com;;JORGE MARIO CARRILLO BETANCOURT ;DEPARTAMENTO DE VENTAS;52-42-58-21;;jcarrillo@bowmantec.com;;;;
137;EMEPUNTO,S.A. DE C.V.;TEODORO L. SANTA CRUZ  MANZ. 104 LT. 14 COL. AMPLIACIÓN GABRIEL HERNANDEZ, MÉXICO, D.F. C.P.07080;55-38-51-03;25-84-79-28;EME-030227-AE3;;;RODRIGO MOSIG ZAMBRANO;DEPARTAMENTO DE VENTAS;55-38-51-03;;;25-84-79-28;;;
138;LOGICA EN MEDIOS,S.A. DE C.V.;AMORES No.708 COL. DEL VALLE MEXICO, D.F. C.P.03100 ;55-23-69-42;;LME-020417-SU5;info@medialog.com.mx;;EDITH MARTÍN DEL CAMPO SÁNCHEZ;DEPARTAMENTO DE VENTAS;55-23-69-42;;;;;;
139;DELMO COMUNICACIONES,S.A. DE C.V.;TEHUANTEPEC No.149 INT. 1 COL. ROMA SUR DEL.CUAUHTEMOC, MÉXICO, D.F. ;56-79-18-81;;DCO-031203-RS5;;;TELÉ MARKETING;DEPARTAMENTO DE VENTAS;;;;;;;
140;HERNANDEZ UGALDE AMELIA;CERRADA TÉCNICOS Y MANUALES 19-52 COL. LOMAS ESTRELLA DELEGACIÓN IZTAPALAPA, MEXICO, D.F. C.P.09890;54-43-77-53;54-43-77-54;HUEA-730908-AM1;;;HERNANDEZ UGALDE AMELIA;REPRESENTANTE LEGAL;54-43-77-53;54-43-77-54;;;;;
141;PROMETRIC TECHNOLOGIES,S.A. DE C.V.;MANUEL MATEOS 2-2 CENTRO TEQUISQUIAPAN QRO. ;;;;;;;;;;;;;;
